,Hi all~ I am in the market for a new plaquette style device,1
1984,Wish I had pics from when I had just gotten them back~ edges were sharp,1
1985,If you live in Denver must go to rock and resole,1
1986,They always do a fantastic job~ always.,1
1987,They took 2 months on the last pair I sent them~ but they have done a fantastic job every time.,1
1988,I have had really awesome luck with The Rubber Room Resoles,1
1989,Tony does a really good job at re-skinning your shoes~ and he won't re-sole a basket case to make a buck,1
1990,Positive Resoles also has done good work for me in the past...,1
1991,Greater Tahoe Gripworks! Only does La Sportiva now but idk why you would be climbing in anything else.http://www.tahoegripworks.com/ Cheers,1
1992,Greater Tahoe Gripworks,1
1993,Has anyone tried out Unparallel for resoling?,1
1994,Yosemite Bum tends to have solid prices and shorter turnaround than Rock and Resole~ but I've had some touch-and-go customer service there,1
1995,I talked to one person on the phone who assured me they could turn around my shoes in 5 business days in advance of a trip to the valley; when I got there to drop them off the guy at the counter assured me that timeframe was completely impossible,1
1996,However~ I've been impressed with the job they do on the resoles themselves,1
1997,That being said~ the phone number to Rock and Resole is (303) 440-0414,1
1998,Has anyone had access yet to the new ATC Pilot? Any first impressions? Any word on release dates?,1
1999,There was discussion on MP.com earlier this year -  MP.com thread   My memory is little hazy~ but IIRC someone mentioned that ATC Pilot is remarkably similar to a belay device from one of the European manufactures,1
2000,You decide - ATC Pilot,1
2001,Thanks for the comparison,1
2002,Especially considering I just heard back from BD Pilot not released until Summer 2018.,1
2003,Thanks Jim - almost all the reviews are other than English~ so helpful to know what they have to say.,1
2004,I was able to translate several reviews on the Salewa Ergo - enough positives to give it a go until 2018 when hopefully the Pilot comes out.,1
2005,Happy New Year~ everybody!!   In my opinion~ the Salewa Ergo is quite good,1
2006,However~ I would much rather recommend this German creation: Edelrid Megajul   I've been belaying with it for more than two years now and~ although I am still an absolute BD-ATC-fan~ this tiny~ mega light German invention offers exactly the same belay functions as the BD-ATC but it weighs much much less,1
2007,"AND on top of that it works as a ""semi"" automatic blocking device (""semi"" as the are very carful not to call it ""full"" automatic as for example the Petzl Grigri~ for some legal reasons)",1
2008,I don't know whether it is obtainable in the US thogh,1
2009,Saludos~ Yelmo,1
2010,I just has a chance to use both the Mega Jul and Sawela Ergo,1
2011,Between the two~ I found the Ergo smoother for lowering and the MJ more grabby,1
2012,Also the Ergo more positive passive breaking,1
2013,The only downside I found with the Ergo was tendency for the break side rope to drift off the right side of the guide when lowering~ which is a narrow metal edge,1
2014,The pictures of the Pilot appear to have solved for this wear by rolling the edge of the metal.,1
2015,I hate rappelling with MJ~ can't get it run smoothly,1
2016,Makes me   Bounce to much,1
2017,Nice if you have to work the rope tho~ pretty much autolocks,1
2018,But just haven't figured out a smooth rappel down the rope with it.,1
2019,Flip MJ around and rappel.,1
2020,i would also recommend the mammut smart as a similar device,1
2021,Flip MJ around and rappel,1
2022,Fine for single pitch~ but if you go past a rap station and have to work back up that MJ is gonna lock the wrong direction.,1
2023,I think I mentioned the Pilot in another thread~ but after belaying a half dozen pitches I think it's a pretty solid device,1
2024,No rappelling so I can't speak to that,1
2025,It is definitely better than the Mammut Smart,1
2026,I can't speak to the Megajul because I haven't used one,1
2027,The lowering is REALLY smooth,1
2028,That's actually the feature I like most about it,1
2029,I think with more use I may start to prefer it to the grigri~ but right now I'm more used to the grigri so it's probably still my preferred device,1
2030,Tested it with a 9.7mm rope and the BD Vaporlock carabiner,1
2031,My partner also used it and said he liked it a lot and preferred it to the megajul,1
2032,It locks up well~ but does let a little rope slowly go through if you're not applying pressure to the brake strand,1
2033,Easy for boinging the leader back up the rope after a fall,1
2034," Haven't seen the ATC pilot but had an opportunity to use a "" Click-up"" in Kalymnos & thought it was DOPE despite writing it off as a gimmick at first",1
2035,Super smooth~ easy to lower/pay out slack~ etc,1
2036,Might be a viable option if you're not getting off the ground/rappelling and want an assisted-brake belay device,1
2037,"Plus~ that audible ""Click"" when you fall makes you feel all warm and fuzzy about the brake working properly",1
2038,http://www.climbingtechnology.com/en/outdoor-en/belay-devices-and-descenders/assisted-braking/click-up,1
2039,I've been using the ARC Pilot for about a month now~ and I'm really impressed with it,1
2040,It works great for toprope and lead belay,1
2041,Lowering is smooth,1
2042,It locks well to hold falls,1
2043,A slight lift on the thumb catch and you can pay out slack easily,1
2044,Durable and easy to use,1
2045,Comparable to the Jul 2,1
2046,Well suited for single pitch and gym use.,1
2047,I've been using the ARC Pilot for about a month now~ and I'm really impressed with it,1
2048,It works great for toprope and lead belay,1
2049,Lowering is smooth,1
2050,It locks well to hold falls,1
2051,A slight lift on the thumb catch and you can pay out slack easily,1
2052,Durable and easy to use,1
2053,Comparable to the Jul 2,1
2054,Well suited for single pitch and gym use,1
2055,I 100% agree,1
2056,I get asked about mine all the time in the gym,1
2057,I've used it a lot for both top rope and lead,1
2058,Tried the ATC pilot,1
2059,It's on display in BD store and for sale too,1
2060,It's smooth for lowering~ easy to use~ but just why....,1
2061,40.00 for a device for gym and cragging without the ability to rap in most situations..,1
2062,If they make a double slot model I'd be interested~ until then~ it's just like the jul~ or mammut device~ extremely limited,1
2063,It's a bit bulky too for those with small hands.,1
2064,Works great in the gym~ lowering a heavy climber is super smooth~ I can adjust the speed and it catches falls instantly,1
2065,For me~ autolock works on this device just as well as on Wild Country Revo~ which was 3x the price,1
2066,Hang dogging is a pleasure~ since the device holds the climber in place,1
2067,A lot less load on my hands.,1
2068,I just got one a week ago and have taken it to the gym to test twice now,1
2069,Obviously this is a purpose built~ assisted braking device~ designed for belayers on sport routes outside or in the gym,1
2070,I suppose you could take it out multi-pitch but I think I'd rather save weight in those situations~ although this device is by no means bulky or heavy,1
2071,If you know how to use a regular ATC style device it is totally redundant~ but I intend to keep it on my harness for when climbing with newer climbers for my own peace of mind~ besides the benefits that I personally see from using it myself for belaying my friends,1
2072,Anyway~ for its purpose its excellent,1
2073,It auto-locks effortlessly (I dont work for BD so I can say auto-locks without worrying about liability.) I weigh ~170lbs and the device took a lead fall in the gym with 10mm-ish rope~ no hands on the device and it locked,1
2074,I do not recommend you try this~ we did this indoors in a semi controlled environment~ Im sure there are scenarios where the geometry-based brake assist could be overcome~ such as if the finger/thumb loop were snagged on something~ causing the device to be pulled away from the belayer and disengaging the device,1
